cik,company,event_date,event_year,sic,sic_division,resolved,ticker,provenance,reason_code,exclusion_family,n_bankruptcy_events,is_chapter_22,subsequent_event_dates,xbrl_instances_seen,has_xbrl_fundamentals,public_float_usd,listing_start,listing_end,notes,size_decile
0000944739,TRANSWITCH CORP /DE  (CIK 0000944739),2013-11-21,2013,3674,Manufacturing,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,65,True,31400000.0,,,"TXCC rejected: not in listing table | TXCCQ rejected: listing starts 2016-01-04, after event 2013-11-21",5
0001020448,IMPERIAL PETROLEUM RECOVERY CORP  (CIK 0001020448),2013-04-05,2013,3533,Manufacturing,False,,,NO_TRADING_SYMBOL_TAG,data_unavailability,1,False,,4,True,1452845.0,,,no candidate symbols found,1
0001031999,Eastern 1996D Limited Partnership  (CIK 0001031999),2013-09-18,2013,1381,Mining,False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0001055454,SCHOOL SPECIALTY INC  (CIK 0001055454),2013-01-28,2013,5000,Wholesale Trade,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,188,True,20683549.0,,,"SCHS rejected: listing starts 2017-10-16, after event 2013-01-28 | SCHSQ rejected: listing starts 2013-02-06, after event 2013-01-28 | SCOO rejected: listing starts 2013-11-04, after event 2013-01-28",4
0001120830,"China Natural Gas, Inc.  (CIK 0001120830)",2013-02-14,2013,4923,Transport & Utilities,True,CHNGQ,xbrl,RESOLVED_XBRL,resolved,1,False,,86,True,18539208.0,2012-03-08,2026-08-18,"CHNG rejected: listing starts 2019-06-27, after event 2013-02-14",4
0001127360,Colorado 2000C Limited Partnership  (CIK 0001127360),2013-09-18,2013,1381,Mining,False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0001156218,Colorado 2001B Limited Partnership  (CIK 0001156218),2013-09-18,2013,1381,Mining,False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0001173313,"ECOLOGY COATINGS, INC.  (ABVC)  (CIK 0001173313)",2013-04-03,2013,5084,Wholesale Trade,True,ABVC,xbrl,RESOLVED_XBRL,resolved,2,True,2014-10-24,8,True,37000000.0,2011-04-05,2026-08-18,ABVCQ rejected: not in listing table,5
0001205181,IMAGING3 INC  (GPFT)  (CIK 0001205181),2013-07-17,2013,3844,Manufacturing,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,2,True,2017-01-19,12,True,15386597.0,,,"IMGG rejected: not in listing table | IMGGQ rejected: not in listing table | GPFT rejected: listing starts 2016-06-23, after event 2013-07-17",3
0001262751,GRYPHON GOLD CORP  (CIK 0001262751),2013-08-01,2013,1040,Mining,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,14,True,46805169.0,,,"GYPH rejected: not in listing table | GYPHQ rejected: listing starts 2014-02-18, after event 2013-08-01",6
0001331427,"AgFeed Industries, Inc.  (CIK 0001331427)",2013-07-15,2013,0200,"Agriculture, Forestry, Fishing",False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,0,True,,,,"AGFI rejected: not in listing table | AGFIQ rejected: not in listing table | FEED rejected: listing starts 2017-06-13, after event 2013-07-15",
0001355128,OCZ TECHNOLOGY GROUP INC  (CIK 0001355128),2013-12-06,2013,3572,Manufacturing,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,14,True,367000000.0,,,OCZ rejected: not in listing table | OCZQ rejected: not in listing table,9
0001389115,Innolog Holdings Corp.  (CIK 0001389115),2013-09-05,2013,7373,Services,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,16,True,987781.0,,,"INHC rejected: listing starts 2017-10-12, after event 2013-09-05 | INHCQ rejected: not in listing table | UKMA rejected: not in listing table",1
0001401106,MF Global Holdings Ltd.  (CIK 0001401106),2013-04-11,2013,6200,"Finance, Insurance, Real Estate",False,,,NO_TRADING_SYMBOL_TAG,data_unavailability,1,False,,92,True,1173200000.0,,,no candidate symbols found,10
